issue_number,repo_name,title,state,created_at,updated_at,author,issue_url
3898,keploy,[bug]: ALPN negotiation blocks HTTP/2 upgrade for HTTP/1.1 requests with Upgrade header,open,2026-03-04T05:25:45Z,2026-03-04T05:25:45Z,zesty-clawd,https://github.com/keploy/keploy/issues/3898
3897,keploy,Vulnerability in keploy project,open,2026-03-03T11:19:55Z,2026-03-03T11:19:55Z,ankitdn,https://github.com/keploy/keploy/issues/3897
3891,keploy,"fix: correct typo ""DEPRICATED"" → ""DEPRECATED"" in deprecated flag message",open,2026-03-01T08:23:30Z,2026-03-01T08:24:15Z,DhineshPonnarasan,https://github.com/keploy/keploy/issues/3891
3890,keploy,[feature]: Add a virtual field bookCount,open,2026-02-28T13:38:41Z,2026-02-28T13:38:53Z,hindochahitarth,https://github.com/keploy/keploy/issues/3890
3889,keploy,[feature]: Implement a search query,open,2026-02-28T13:32:25Z,2026-02-28T13:32:36Z,hindochahitarth,https://github.com/keploy/keploy/issues/3889
3888,keploy,[feature]: Search Books by Name (Partial Match),open,2026-02-28T12:36:18Z,2026-02-28T12:36:36Z,hindochahitarth,https://github.com/keploy/keploy/issues/3888
3887,keploy,[feature]:  Update Author Mutation,open,2026-02-28T12:12:31Z,2026-02-28T12:13:39Z,hindochahitarth,https://github.com/keploy/keploy/issues/3887
3883,keploy,[feature]: Add --json Output Support to keploy doctor,open,2026-02-27T16:09:45Z,2026-02-27T16:09:55Z,Yashvi29-power,https://github.com/keploy/keploy/issues/3883
3882,keploy,[feature]: Improve structured logging by adding command context fields,open,2026-02-27T16:00:19Z,2026-02-28T11:52:04Z,Diyap235,https://github.com/keploy/keploy/issues/3882
3878,keploy,[feature]: Add Built-in Health Check Command for Keploy Agent,open,2026-02-27T10:33:19Z,2026-02-27T10:33:38Z,Yashvi29-power,https://github.com/keploy/keploy/issues/3878
3872,keploy,[bug]: Noise assertions silently dropped during YAML decode due to incorrect type assertion,open,2026-02-27T05:24:50Z,2026-02-27T05:25:13Z,zesty-clawd,https://github.com/keploy/keploy/issues/3872
