date,total_stars
2026-03-03,16158
2026-03-04,16158
2026-03-05,16163
2026-03-06,16161
2026-03-07,16196
2026-03-08,16203
2026-03-09,16211
2026-03-10,16212
2026-03-11,16212
2026-03-12,16212
2026-03-13,16272
2026-03-14,16283
2026-03-15,16293
2026-03-16,16294
2026-03-17,16298
2026-03-18,16303
2026-03-19,16304
2026-03-20,16310
2026-03-21,16308
2026-03-22,16345
2026-03-23,16442
2026-03-24,16526
2026-03-25,16570
2026-03-26,16583
2026-03-27,16593
2026-03-28,16598
2026-03-29,16599
2026-03-30,16631
2026-03-31,16729
2026-04-01,16821
2026-04-02,16940
2026-04-03,17078
2026-04-04,17085
2026-04-05,17088
2026-04-06,17088
2026-04-07,17084
2026-04-08,17081
2026-04-09,17078
2026-04-10,17082
2026-04-11,17086
